score_diff,win_rate_diff,title_wins_diff,matches_diff,target
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
52.5,1.0,11,0,1
47.5,1.0,9,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
52.5,1.0,11,0,1
47.5,1.0,9,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
52.5,1.0,11,0,1
47.5,1.0,9,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
52.5,1.0,11,0,1
47.5,1.0,9,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
52.5,1.0,11,0,1
47.5,1.0,9,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
52.5,1.0,11,0,1
47.5,1.0,9,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
52.5,1.0,11,0,1
47.5,1.0,9,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
52.5,1.0,11,0,1
47.5,1.0,9,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
52.5,1.0,11,0,1
47.5,1.0,9,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
52.5,1.0,11,0,1
47.5,1.0,9,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
52.5,1.0,11,0,1
47.5,1.0,9,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
52.5,1.0,11,0,1
47.5,1.0,9,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
52.5,1.0,11,0,1
47.5,1.0,9,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
52.5,1.0,11,0,1
47.5,1.0,9,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
52.5,1.0,11,0,1
47.5,1.0,9,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
52.5,1.0,11,0,1
47.5,1.0,9,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
52.5,1.0,11,0,1
47.5,1.0,9,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
52.5,1.0,11,0,1
47.5,1.0,9,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
52.5,1.0,11,0,1
47.5,1.0,9,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
5.0,0.0,2,0,1
52.5,1.0,11,0,1
47.5,1.0,9,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-2.5,0.0,-1,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-7.5,0.0,-3,0,1
2.5,0.0,1,0,1
5.0,0.0,2,0,1
-5.0,0.0,-2,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
0.0,0.0,0,0,1
-0.0,-0.0,0,0,0
2.5,-0.0,1,0,0
-2.5,-0.0,-1,0,0
-0.0,-0.0,0,0,0
2.5,-0.0,1,0,0
-0.0,-0.0,0,0,0
-0.0,-0.0,0,0,0
-0.0,-0.0,0,0,0
-2.5,-0.0,-1,0,0
-0.0,-0.0,0,0,0
-0.0,-0.0,0,0,0
-2.5,-0.0,-1,0,0
2.5,-0.0,1,0,0
-0.0,-0.0,0,0,0
-0.0,-0.0,0,0,0
-0.0,-0.0,0,0,0
-0.0,-0.0,0,0,0
-0.0,-0.0,0,0,0
-0.0,-0.0,0,0,0
-0.0,-0.0,0,0,0
-0.0,-0.0,0,0,0
2.5,-0.0,1,0,0
-0.0,-0.0,0,0,0
-0.0,-0.0,0,0,0
-0.0,-0.0,0,0,0
-2.5,-0.0,-1,0,0
-5.0,-0.0,-2,0,0
7.5,-0.0,3,0,0
-2.5,-0.0,-1,0,0
-5.0,-0.0,-2,0,0
5.0,-0.0,2,0,0
-0.0,-0.0,0,0,0
-0.0,-0.0,0,0,0
-0.0,-0.0,0,0,0
-0.0,-0.0,0,0,0
5.0,-0.0,2,0,0
-5.0,-0.0,-2,0,0
5.0,-0.0,2,0,0
-5.0,-0.0,-2,0,0
-52.5,-1.0,-11,0,0
-47.5,-1.0,-9,0,0
-0.0,-0.0,0,0,0
